2017-01-27T13:29:17,875 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:29:17,878 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:29:17,900 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:29:17,900 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:29:17,901 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:29:17,901 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:29:17,902 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:29:17,902 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:29:17,903 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:29:17,904 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:29:17,904 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:29:17,904 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:29:17,904 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:29:17,968 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:29:17,969 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:29:17,969 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:29:17,969 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:29:17,969 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:29:17,985 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:29:17,992 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:29:17,992 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:29:18,008 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:29:18,008 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
2017-01-27T13:29:18,009 | DEBUG | NetUtil | main | Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
2017-01-27T13:29:18,010 | DEBUG | NetUtil | main | /proc/sys/net/core/somaxconn: 128
