2017-01-27T13:40:04,163 | DEBUG | InternalLoggerFactory | main | Using java.util.logging as the default logging framework
2017-01-27T13:40:04,168 | DEBUG | MultithreadEventLoopGroup | main | -Dio.netty.eventLoopThreads: 8
2017-01-27T13:40:04,190 | DEBUG | PlatformDependent0 | main | java.nio.Buffer.address: available
2017-01-27T13:40:04,190 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.theUnsafe: available
2017-01-27T13:40:04,191 | DEBUG | PlatformDependent0 | main | sun.misc.Unsafe.copyMemory: available
2017-01-27T13:40:04,191 | DEBUG | PlatformDependent0 | main | direct buffer constructor: available
2017-01-27T13:40:04,192 | DEBUG | PlatformDependent0 | main | java.nio.Bits.unaligned: available, true
2017-01-27T13:40:04,192 | DEBUG | PlatformDependent0 | main | java.nio.DirectByteBuffer.<init>(long, int): available
2017-01-27T13:40:04,193 | DEBUG | Cleaner0 | main | java.nio.ByteBuffer.cleaner(): available
2017-01-27T13:40:04,194 | DEBUG | PlatformDependent | main | Java version: 8
2017-01-27T13:40:04,194 | DEBUG | PlatformDependent | main | -Dio.netty.noUnsafe: false
2017-01-27T13:40:04,194 | DEBUG | PlatformDependent | main | sun.misc.Unsafe: available
2017-01-27T13:40:04,194 | DEBUG | PlatformDependent | main | -Dio.netty.noJavassist: false
2017-01-27T13:40:04,258 | DEBUG | PlatformDependent | main | Javassist: available
2017-01-27T13:40:04,258 | DEBUG | PlatformDependent | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:40:04,258 | DEBUG | PlatformDependent | main | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-01-27T13:40:04,259 | DEBUG | PlatformDependent | main | -Dio.netty.noPreferDirect: false
2017-01-27T13:40:04,259 | DEBUG | PlatformDependent | main | io.netty.maxDirectMemory: 3728736256 bytes
2017-01-27T13:40:04,275 | DEBUG | PlatformDependent | main | org.jctools-core.MpscChunkedArrayQueue: available
2017-01-27T13:40:04,281 | DEBUG | NativeLibraryLoader | main | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2017-01-27T13:40:04,281 | DEBUG | NativeLibraryLoader | main | -Dio.netty.native.workdir: /tmp (io.netty.tmpdir)
2017-01-27T13:40:04,298 | DEBUG | NetUtil | main | -Djava.net.preferIPv4Stack: false
2017-01-27T13:40:04,298 | DEBUG | NetUtil | main | -Djava.net.preferIPv6Addresses: false
